gene_id	chrom	left	right
ACTR3BP1	Y	13551374	13552752
ACTR3BP2	2	92128693	92130066
ACTR3BP3	16	32390391	32391370
ACTR3BP4	4	103883112	103884484
ACTR3BP5	10	38989554	38991033
ACTR3BP6	22	16967409	16968778
ACTR3C	7	149941004	150020662
ACTR3P2	X	67991164	67992421
ACTR3P3	3	100881937	100882830
ACTR5	20	37377084	37400834
ACTR6	12	100592899	100604098
ACTR6P1	4	107757654	107758758
ACTR8	3	53901092	53916229
ACTR10	14	58666797	58701478
ACTRT1	X	127184942	127186382
ACTRT2	1	2938045	2939465
ACTRT3	3	169484708	169487683
ACVR1	2	158592957	158731623
ACVR1B	12	52345450	52390862
ACVR1C	2	158383278	158485517
ACVR2A	2	148602085	148685185
ACVR2B	3	38495341	38534633
ACVR2B-AS1	3	38492517	38496311
ACVRL1	12	52300691	52307088
ACY1	3	52009065	52023199
ACY3	11	67410025	67418130
ACYP1	14	75519923	75530752
ACYP2	2	54197974	54202513
ADA	20	43248162	43280383
ADA2	22	17660193	17702879
ADAD1	4	123300120	123305061
ADAD1P2	18	47590164	47590810
ADAD2	16	84224743	84230772
ADAL	15	43622871	43646094
ADAM1A	12	112337066	112339195
ADAM1B	12	112364821	112366821
ADAM2	8	39601253	39695808
ADAM3A	8	39308563	39380367
ADAM3B	16	49551672	49552512
ADAM5	8	39172109	39274897
ADAM7	8	24298442	24325160
ADAM8	10	135075906	135090372
ADAM9	8	38854387	38873535
ADAM10	15	58887402	59042177
ADAM11	17	42836398	42859214
ADAM12	10	127700949	128077024
ADAM15	1	155023041	155028714
ADAM17	2	9628614	9695917
ADAM18	8	39442007	39468263
ADAM19	5	156822541	157002783
ADAM20	14	70989074	71001732
ADAM20P1	14	70935597	70950473
ADAM20P2	4	176496018	176497291
ADAM20P3	4	188667247	188669353
ADAM21	14	70918873	70926616
ADAM21P1	14	70712207	70714377
ADAM22	7	87563457	87832204
ADAM23	2	207308262	207485851
ADAM24P	8	17327026	17329127
ADAM28	8	24151552	24216531
ADAM29	4	175750818	175791938
ADAM30	1	120436155	120439118
ADAM32	8	38964508	39008967
ADAM33	20	3648611	3654394
ADAMDEC1	8	24241797	24263526
ADAMTS1	21	28208065	28217728
ADAMTS2	5	178537851	178772431
ADAMTS3	4	73146685	73434516
ADAMTS4	1	161154097	161168846
ADAMTS5	21	28290230	28338832
ADAMTS6	5	64444562	64777747
ADAMTS7	15	79051544	79103773
ADAMTS7P3	15	78268383	78285399
ADAMTS7P4	15	85798599	85814123
ADAMTS8	11	130274819	130282008
ADAMTS9	3	64501332	64508187
ADAMTS9-AS1	3	64547013	64549001
ADAMTS9-AS2	3	64670584	64788401
ADAMTS10	19	8645125	8673183
ADAMTS12	5	33523639	33892297
ADAMTS13	9	136279477	136324508
ADAMTS14	10	72432558	72522197
ADAMTS15	11	130318868	130346532
ADAMTS16	5	5140442	5223840
ADAMTS17	15	100511793	100882210
ADAMTS18	16	77281709	77323256
ADAMTS19	5	128795957	129074376
ADAMTS19-AS1	5	128795251	128796382
ADAMTS20	12	43747668	43945724
ADAMTSL1	9	18473891	18910948
ADAMTSL2	9	136397285	136440641
ADAMTSL3	15	84322837	84708594
ADAMTSL4	1	150521883	150531224
ADAMTSL4-AS1	1	150533479	150533969
ADAMTSL5	19	1505016	1511679
ADAP1	7	937539	994333
ADAP2	17	29233361	29248778
ADAR	1	154554537	154600474
ADARB1	21	46493767	46557241
ADARB2	10	1228072	1779670
ADARB2-AS1	10	1568831	1599179
ADAT1	16	75630878	75637032
ADAT2	6	143743968	143763114
ADAT3	19	1905376	1913444
ADCK1	14	78266425	78400297
ADCK2	7	140372952	140395745
ADCK5	8	145596789	145616264
ADCY1	7	45613738	45704271
ADCY2	5	7396320	7830194
ADCY3	2	25042037	25142708
ADCY4	14	24787554	24804277
ADCY5	3	123001142	123168605
ADCY6	12	49159974	49177877
ADCY7	16	50280047	50324439
ADCY8	8	131792546	132054672
ADCY9	16	4003387	4039001
ADCY10	1	167778624	167883453
ADCY10P1	6	41068760	41106465
ADCYAP1	18	904943	909904
ADCYAP1R1	7	31092075	31151089
ADD1	4	2845583	2931789
ADD2	2	70834749	70995330
ADD3	10	111756125	111878366
ADD3-AS1	10	111701028	111713649
ADGB	6	146920100	147136598
ADGRA1	10	134884432	134945179
ADGRA1-AS1	10	134898747	134900201
ADGRA2	8	37641708	37687511
ADGRA3	4	22346693	22403127
ADGRB1	8	143530790	143626370
ADGRB2	1	32192717	32229941
ADGRB3	6	69345258	70099403
ADGRD1	12	131438451	131625792
ADGRD1-AS1	12	131474682	131478521
ADGRD2	9	127213422	127239379
ADGRE1	19	6887576	6940470
ADGRE2	19	14843204	14889353
ADGRE3	19	14729928	14785656
ADGRE4P	19	6952510	6990857
ADGRE5	19	14491312	14508616
ADGRF1	6	46965439	47010099
ADGRF2	6	47624171	47651264
ADGRF3	2	26531040	26568670
ADGRF4	6	47653599	47689757
ADGRF5	6	46820248	46889714
ADGRF5P1	9	66516696	66517831
ADGRF5P2	9	44170446	44175727
ADGRG1	16	57644563	57685196
ADGRG2	X	19007426	19140755
ADGRG3	16	57702098	57723290
ADGRG4	X	135383121	135499047
ADGRG5	16	57576332	57611101
ADGRG6	6	142622990	142767403
ADGRG7	3	100328432	100414323
ADGRL1	19	14260749	14316999
ADGRL2	1	81771844	82201015
ADGRL3	4	62066975	62944053
ADGRL3-AS1	4	62937469	63031263
ADGRL4	1	79355448	79383570
ADGRV1	5	89825160	89918488
ADH1A	4	100197523	100212185
ADH1B	4	100226120	100242556
ADH1C	4	100257648	100274184
ADH4	4	100044807	100065448
ADH5	4	99992131	100009902
ADH5P2	1	79986764	79987888
ADH5P3	1	240333454	240334591
ADH5P4	6	66546822	66547932
ADH6	4	100123794	100140392
ADH7	4	100333417	100356667
ADHFE1	8	67342419	67357559
ADI1	2	3501131	3523507
ADI1P1	20	39959762	39960300
ADI1P2	8	103700544	103701134
ADI1P3	12	47856869	47857404
ADIG	20	37209837	37217104
ADIPOQ	3	186560462	186576252
ADIPOQ-AS1	3	186569674	186573912
ADIPOR1	1	202909950	202927517
ADIPOR1P1	10	22451920	22454723
ADIPOR1P2	14	95100041	95100861
ADIPOR2	12	1797739	1882090
ADIRF	10	88727948	88730672
ADIRF-AS1	10	88725101	88727306
ADK	10	75910959	76468457
ADM	11	10326226	10328944
ADM2	22	50919984	50924869
ADM5	19	50191920	50193832
ADNP	20	49505584	49526328
ADNP-AS1	20	49547520	49561671
ADNP2	18	77866914	77898234
ADO	10	64564515	64568238
ADORA1	1	203059781	203136532
ADORA2A	22	24813846	24829160
ADORA2A-AS1	22	24825177	24890783
ADORA2B	17	15848230	15879060
ADORA2BP1	1	209917717	209918559
ADPGK	15	73043709	73076126
ADPGK-AS1	15	73075175	73090540
ADPRH	3	119298114	119308792
ADPRHL1	13	114076259	114103457
ADPRHL2	1	36554475	36559533
ADPRM	17	10600910	10614550
ADRA1A	8	26605666	26722922
ADRA1B	5	159343789	159399551
ADRA1D	20	4201328	4229721
ADRA2A	10	112836789	112840658
ADRA2C	4	3768074	3770218
ADRB1	10	115803805	115806667
ADRB2	5	148206155	148208196
ADRB3	8	37820515	37824483
ADRM1	20	60877148	60879597
ADSL	22	40742506	40763008
ADSS	1	244571795	244615436
ADSSL1	14	105190522	105213647
ADTRP	6	11712286	11766565
AEBP1	7	44143959	44154159
AEBP2	12	19556978	19646763
AEN	15	89164526	89175513
AES	19	3052907	3063105
AFAP1	4	7760440	7874040
AFAP1-AS1	4	7755816	7780655
AFAP1L1	5	148651433	148721365
AFAP1L2	10	116054582	116164515
AFDN	6	168227601	168281052
AFDN-AS1	6	168224555	168227389
AFF1	4	87856153	88062206
AFF2	X	147582138	148082193
AFF2-IT1	X	147628398	147628918
AFF3	2	100162322	100721178
AFF4	5	132211070	132299326
AFG1L	6	108616097	108847204
AFG3L1P	16	90038993	90046278
AFG3L2	18	12328942	12377313
AFG3L2P1	8	43125340	43127105
AFM	4	74347399	74369691
AFMID	17	76183397	76203782
AFP	4	74296854	74302927
AFTPH	2	64751464	64820131
AGA	4	178351923	178363657
AGAP1	2	236402732	236761846
AGAP1-IT1	2	236414394	236416210
AGAP2	12	58118979	58131619
AGAP2-AS1	12	58120053	58122139
AGAP3	7	150782917	150814863
AGAP4	10	46321041	46342921
AGAP5	10	75434032	75457554
AGAP6	10	51748077	51770259
AGAP9	10	47191843	47239738
AGAP10P	10	46174139	46195980
AGAP11	10	88730497	88769883
AGAP13P	10	46717126	46733073
AGBL1	15	86685226	87572283
AGBL1-AS1	15	86838879	86848212
AGBL2	11	47681142	47736912
AGBL3	7	134671258	134695016
AGBL4	1	48998526	50489585
AGBL4-IT1	1	49839872	49937757
AGBL5	2	27265231	27276022
AGBL5-AS1	2	27272550	27273132
AGBL5-IT1	2	27283905	27284683
AGER	6	32148744	32152101
AGFG1	2	228336867	228419275
AGFG2	7	100136833	100160497
AGGF1	5	76325075	76332399
AGGF1P1	4	190962496	190964569
AGGF1P2	10	135455589	135456398
AGGF1P3	3	75702711	75703924
AGGF1P4	16	34623573	34624374
AGGF1P5	16	34654661	34655580
AGGF1P6	16	34723607	34724583
AGGF1P7	16	34782287	34783200
AGGF1P8	16	34493000	34494000
AGGF1P9	16	34581755	34582668
AGK	7	141250988	141355044
AGKP1	Y	16750975	16752238
AGL	1	100315639	100389576
AGMAT	1	15898847	15911605
AGMO	7	15239942	15601640
AGO1	1	36335408	36386559
AGO2	8	141541263	141645718
AGO3	1	36396318	36449010
AGO4	1	36273772	36323491
AGPAT1	6	32135988	32145873
AGPAT2	9	139567594	139581875
AGPAT3	21	45285066	45406417
AGPAT4	6	161551010	161695057
AGPAT5	8	6565877	6617184
AGPAT5P1	Y	3161848	3162867
AGPS	2	178257371	178408564
AGR2	7	16831434	16844704
AGR3	7	16899028	16921611
AGRN	1	955502	991496
AGRP	16	67516473	67517716
AGT	1	230838268	230850043
AGTPBP1	9	88161454	88356944
AGTR1	3	148415570	148460790
AGTR2	X	115301974	115306225
AGTRAP	1	11796140	11810767
AGXT	2	241807895	241818537
AGXT2	5	34998205	35048198
AHCTF1	1	247002399	247062782
AHCY	20	32868073	32891154
AHCYL1	1	110527307	110566357
AHCYL2	7	128864863	129070052
AHCYP2	9	123482950	123484250
AHCYP3	2	105011459	105012738
AHCYP4	2	139659002	139660317
AHCYP5	2	196447517	196448755
AHCYP7	15	50709581	50710889
AHCYP8	1	248885293	248885502
AHDC1	1	27860545	27930102
AHI1	6	135604669	135818883
AHNAK	11	62201015	62303579
AHNAK2	14	105403580	105436818
AHR	7	17338245	17385774
AHRR	5	304290	438406
AHSA1	14	77924212	77935590
AHSA2	2	61404552	61414686
AHSG	3	186330711	186339107
AHSP	16	31539184	31540124
AICDA	12	8754761	8765467
AIDA	1	222841354	222886079
AIF1	6	31582960	31584798
AIF1L	9	133971862	133998539
AIFM1	X	129263336	129299638
AIFM1P1	10	19024673	19027560
AIFM2	10	71857978	71883858
AIFM3	22	21319395	21335649
AIG1	6	143381632	143654493
AIG1P1	5	39022512	39022660
AIM2	1	159032273	159046691
AIMP1	4	107236700	107252887
AIMP1P1	20	14108045	14108982
AIMP1P2	1	172855086	172855398
AIMP2	7	6048875	6063465
AIP	11	67250511	67258574
AIPL1	17	6297012	6338399
AIRE	21	45705720	45718531
AIRN	6	160424322	160428696
AJAP1	1	4714791	4837854
AJUBA	14	23440382	23451851
AK1	9	130628758	130640022
AK2	1	33473584	33502471
AK2P2	2	32048481	32048886
AK3	9	4711154	4741318
AK3P2	8	144138476	144139233
AK3P3	7	23168796	23169460
AK3P4	5	114738076	114738659
AK3P5	10	33233408	33233927
AK4	1	65613231	65697828
AK4P2	5	54847712	54848382
AK4P3	12	31768701	31769373
AK4P4	9	5855780	5856426
AK4P5	6	80787445	80788079
AK4P6	4	151948241	151948769
AK5	1	77747735	78025651
AK6	5	68646810	68665369
AK6P1	12	34402415	34402893
AK6P2	12	38472330	38472801
AK7	14	96858447	96955764
AK8	9	135600964	135754164
AK9	6	109814058	110012415
AKAIN1	18	5145283	5197502
AKAP1	17	55162452	55183384
AKAP2	9	112542768	112930777
AKAP3	12	4724673	4758213
AKAP4	X	49955405	49965664
AKAP5	14	64932216	64941221
AKAP6	14	32798478	33300567
AKAP7	6	131456805	131604675
AKAP8	19	15464195	15490603
AKAP8L	19	15490858	15529865
AKAP8P1	9	11011747	11013096
AKAP9	7	91570180	91739987
AKAP10	17	19807614	19881150
AKAP11	13	42846288	42897396
AKAP12	6	151561133	151679692
AKAP13	15	85923801	85925401
AKAP14	X	119029799	119054675
AKAP17A	X	1710485	1721407
AKAP17BP	X	118383308	118391630
AKIP1	11	8932685	8941631
AKIRIN1	1	39456894	39471731
AKIRIN1P1	12	80954795	80955339
AKIRIN1P2	X	67352709	67353279
AKIRIN2	6	88384789	88411927
AKIRIN2P1	4	150711103	150711455
AKNA	9	117096435	117111222
AKNAD1	1	109358519	109399716
AKR1A1	1	46016214	46035721
AKR1B1	7	134127101	134143894
AKR1B1P1	1	224762135	224763091
AKR1B1P2	3	74185109	74186043
AKR1B1P3	11	16505630	16506218
AKR1B1P4	13	46261682	46262604
AKR1B1P7	19	33851405	33852354
AKR1B1P8	X	115174735	115175671
AKR1B10	7	134212343	134226160
AKR1B10P1	10	69510041	69510983
AKR1B10P2	18	66123187	66124114
AKR1B15	7	134233887	134264627
AKR1C1	10	4934795	5020142
AKR1C2	10	5029966	5046215
AKR1C3	10	5077545	5144402
AKR1C4	10	5237424	5238885
AKR1C5P	10	5164278	5177418
AKR1C6P	10	4914092	4934167
AKR1C7P	10	5317135	5330433
AKR1D1	7	137687069	137801612
AKR1D1P1	1	167488772	167489823
AKR1E2	10	4828820	4879775
AKR7A2	1	19630458	19638640
AKR7A2P1	1	113466044	113466959
AKR7A3	1	19609051	19615744
AKR7L	1	19592475	19600435
AKT1	14	105235685	105262088
AKT1S1	19	50372294	50378542
AKT2	19	40736223	40791302
AKT3	1	243651534	244006538
AKT3-IT1	1	243956506	243957702
AKTIP	16	53524951	53537163
ALAD	9	116148596	116163613
ALAS1	3	52232101	52248196
ALAS2	X	55035487	55057497
ALB	4	74262830	74275174
ALCAM	3	105085752	105295744
ALDH1A1	9	75515577	75567971
ALDH1A2	15	58245621	58358616
ALDH1A3	15	101417918	101433192
ALDH1B1	9	38392660	38398658
ALDH1L1	3	125822411	125900029
ALDH1L1-AS1	3	125822482	125826912
ALDH1L1-AS2	3	125898907	125929012
ALDH1L2	12	105413567	105478355
ALDH2	12	112204690	112247442
ALDH3A1	17	19641296	19651746
ALDH3A2	17	19551448	19559705
ALDH3B1	11	67776047	67796741
ALDH3B2	11	67429632	67448671
ALDH4A1	1	19197925	19217385
ALDH5A1	6	24495079	24534474
ALDH6A1	14	74523552	74551196
ALDH7A1	5	125877532	125931110
ALDH7A1P1	5	76586092	76587625
ALDH7A1P2	2	173758490	173759111
ALDH7A1P3	7	150238841	150239186
ALDH7A1P4	10	64500967	64501145
ALDH8A1	6	135238527	135271260
ALDH9A1	1	165631452	165668100
ALDH16A1	19	49956425	49974305
ALDH18A1	10	97365695	97416463
ALDOA	16	30064410	30081735
ALDOAP1	3	52227185	52228801
ALDOAP2	10	127355443	127356519
ALDOB	9	104182859	104198105
ALDOC	17	26900132	26904282
ALG1	16	5083702	5094000
ALG1L	3	125648117	125655882
ALG1L2	3	129800673	129817233
ALG1L3P	4	9705373	9707623
ALG1L5P	7	6963434	6970466
ALG1L6P	3	75464220	75471294
ALG1L7P	4	3937173	3944246
ALG1L8P	11	67552743	67559806
ALG1L9P	11	71511586	71515686
ALG1L10P	12	8380329	8384360
ALG1L11P	8	12036205	12040228
ALG1L12P	8	12278540	12282509
ALG1L13P	8	8093524	8095872
ALG1L14P	4	9168022	9170252
ALG1L15P	3	155761943	155762737
ALG2	9	101978707	101984224
ALG3	3	183960088	183966750
ALG3P1	5	5375835	5376949
ALG5	13	37523911	37573504
ALG6	1	63833260	63904233
ALG8	11	77811981	77824987
ALG9	11	111652918	111709028
ALG9-IT1	11	111687937	111699936
ALG10	12	34175215	34180502
ALG10B	12	38710379	38716388
ALG11	13	52586533	52603793
ALG12	22	50293876	50312106
ALG13	X	110909042	110956525
ALG13-AS1	X	110949876	110954329
ALG14	1	95439962	95538501
ALK	2	29415639	30144432
ALKAL1	8	53446596	53478067
ALKAL2	2	279557	288296
ALKBH1	14	78138746	78174363
ALKBH2	12	109525995	109531277
ALKBH3	11	43902360	43941560
ALKBH3-AS1	11	43930841	43942476
ALKBH4	7	102096684	102105323
ALKBH5	17	18086391	18112712
ALKBH6	19	36500021	36505124
ALKBH8	11	107373451	107436472
ALLC	2	3705784	3750261
ALMS1	2	73612885	73689937
ALMS1-IT1	2	73683890	73686611
ALMS1P1	2	73872045	73912703
ALOX5	10	45869660	45941392
ALOX5AP	13	31309644	31338556
ALOX12	17	6899383	6914055
ALOX12-AS1	17	6779953	6915650
ALOX12B	17	7975953	7991021
ALOX12P1	17	28856705	28869434
ALOX12P2	17	6757179	6805511
ALOX15	17	4534196	4545589
ALOX15B	17	7942334	7952452
ALOX15P2	9	95675437	95683842
ALOXE3	17	7999217	8021807
ALPI	2	233320832	233324742
ALPK1	4	113206664	113237007
ALPK2	18	56148478	56296189
ALPK3	15	85359910	85416713
ALPL	1	21835857	21904902
ALPP	2	233243243	233247599
ALPPL2	2	233271552	233275424
ALS2	2	202565276	202645912
ALS2CL	3	46710486	46718945
ALS2CR12	2	202152993	202216174
ALX1	12	85673884	85695562
ALX3	1	110602615	110613322
ALX4	11	44281993	44331716
ALYREF	17	79845712	79849462
AMACR	5	33986282	34008213
AMBN	4	71457972	71473005
AMBP	9	116822406	116840752
AMBRA1	11	46417963	46612914
AMD1	6	111195972	111216916
AMD1P1	10	20638977	20640029
AMD1P2	X	155058247	155059239
AMD1P3	5	43587019	43588325
AMD1P4	6	11861858	11863203
AMDHD1	12	96337070	96362370
